Sum of MegaTrials/Sec,Column Labels,,,,,,,,
Row Labels,1,10,100,1000,10000,100000,500000,1000000,Grand Total
1,0.79,3.8,6.16,6.84,6.92,6.88,6.98,12.98,51.35
2,0.35,3.19,9.67,13.17,13.73,13.73,13.71,14.81,82.36
4,0.34,2.78,15.07,25.63,27.57,27.23,27.16,50.12,175.9
8,0.24,2.51,13.91,43.63,53.78,54.43,54.17,53.25,275.92
12,0.23,1.85,11.8,45.72,57.24,58.36,71.5,77.07,323.77
16,0.15,1.62,10.79,52.21,71.99,74.22,72.9,73.81,357.69
20,0.21,1.35,10.34,53.92,87.04,91.98,90.81,92,427.65
24,0.14,1.29,0.03,58.84,101.11,70.9,98.4,69.75,400.46
32,0.02,0.12,1.57,16.25,47.4,72.59,110.45,132.54,380.94
Grand Total,2.47,18.51,79.34,316.21,466.78,470.32,546.08,576.33,2476.04
,,,,,,,,,
,1,10,100,1000,10000,100000,500000,1000000,
1,0.79,3.8,6.16,6.84,6.92,6.88,6.98,12.98,
2,0.35,3.19,9.67,13.17,13.73,13.73,13.71,14.81,
4,0.34,2.78,15.07,25.63,27.57,27.23,27.16,50.12,
8,0.24,2.51,13.91,43.63,53.78,54.43,54.17,53.25,
12,0.23,1.85,11.8,45.72,57.24,58.36,71.5,77.07,
16,0.15,1.62,10.79,52.21,71.99,74.22,72.9,73.81,
20,0.21,1.35,10.34,53.92,87.04,91.98,90.81,92,
24,0.14,1.29,0.03,58.84,101.11,70.9,98.4,69.75,
32,0.02,0.12,1.57,16.25,47.4,72.59,110.45,132.54,
