Sum of MegaTrials/Second,Column Labels,,,,,,,
Row Labels,1024,4096,16384,65536,262144,1048576,2097152,Grand Total
8,11.7734,43.3311,170.3827,363.5718,632.3915,755.1623,806.875,2783.4878
32,8.8033,38.6824,136.6427,510.7232,1328.1453,2106.3186,2507.1155,6636.431
64,12.5885,33.9613,134.5244,702.0912,1724.6316,2871.112,3992.6892,9471.5982
128,10.4507,43.5078,149.3582,546.5706,1565.7493,3275.1624,4213.1791,9803.9781
Grand Total,43.6159,159.4826,590.908,2122.9568,5250.9177,9007.7553,11519.8588,28695.4951
,,,,,,,,
,1024,4096,16384,65536,262144,1048576,2097152,
8,11.7734,43.3311,170.3827,363.5718,632.3915,755.1623,806.875,
32,8.8033,38.6824,136.6427,510.7232,1328.1453,2106.3186,2507.1155,
64,12.5885,33.9613,134.5244,702.0912,1724.6316,2871.112,3992.6892,
128,10.4507,43.5078,149.3582,546.5706,1565.7493,3275.1624,4213.1791,
