Matrix Size,Work Elements,GigaMultsPerSecond
1024,1,0.46
1024,4,0.57
1024,16,0.69
1024,64,0.61
1024,256,0.62
4096,1,1.51
4096,4,2.55
4096,16,2.92
4096,64,3.22
4096,256,2.52
16384,1,2.27
16384,4,6.52
16384,16,14.14
16384,64,11.84
16384,256,10.33
65536,1,2.49
65536,4,8.23
65536,16,22.31
65536,64,25.58
65536,256,13.51
262144,1,2.54
262144,4,8.59
262144,16,24.44
262144,64,28.96
262144,256,15.38
1048576,1,2.24
1048576,4,7.21
1048576,16,23.62
1048576,64,28.61
1048576,256,15.59
